city_name,rest_name
chicago,42 Grams
chicago,Acadia
chicago,Alinea
chicago,Avenues
chicago,Band of Bohemia
chicago,Blackbird
chicago,Boka
chicago,Bonsoirée
chicago,Charlie Trotter's
chicago,Courtright's
chicago,Crofton on Wells
chicago,Dusek's Board & Beer
chicago,EL Ideas
chicago,Elizabeth
chicago,Elske
chicago,Entente
chicago,Everest
chicago,Goosefoot
chicago,Grace
chicago,Graham Elliot
chicago,GreenRiver
chicago,Kikko
chicago,L2O
chicago,Longman & Eagle
chicago,Mako
chicago,Mexique
chicago,Moto
chicago,NAHA
chicago,Next
chicago,NoMI
chicago,North Pond
chicago,Omakase Yume
chicago,Oriole
chicago,Parachute
chicago,RIA
chicago,Roister
chicago,Schwa
chicago,Seasons
chicago,Senza
chicago,Sepia
chicago,Sixteen
chicago,Smyth
chicago,Spiaggia
chicago,Takashi
chicago,Temporis
chicago,The Lobby
chicago,Topolobampo
chicago,Tru
chicago,Vie
chicago,Yūgen
new york, Le Coucou
new york, Sushi Noz
new york,15 East
new york,A Voce Columbus
new york,A Voce Madison
new york,Adour
new york,Agern
new york,Ai Fiori
new york,Alain Ducasse at the Essex House
new york,Aldea
new york,Allen & Delancey
new york,Alto
new york,Andanada
new york,Annisa
new york,Anthos
new york,Aquavit
new york,Aska
new york,Atera
new york,Atomix
new york,Aureole
new york,BLT Fish
new york,Babbo
new york,Bar Uchū
new york,Benno
new york,Betony
new york,Blanca
new york,Blue Hill
new york,Blue Hill at Stone Barns
new york,Bouley
new york,Bouley at Home
new york,Brushstroke
new york,Bâtard
new york,Café Boulud
new york,Café China
new york,Café Gray
new york,Cagen
new york,Carbone
new york,Casa Enrique
new york,Casa Mono
new york,Caviar Russe
new york,Chef's Table at Brooklyn Fare
new york,Claro
new york,Contra
new york,Convivio
new york,Corton
new york,Cote
new york,Country
new york,Craft
new york,Crown Shy
new york,Cru
new york,Daniel
new york,Danji
new york,Danny Brown Wine Bar & Kitchen
new york,Danube
new york,Del Posto
new york,Delaware & Hudson
new york,Devi
new york,Dovetail
new york,Dressler
new york,Eighty-One
new york,Eleven Madison Park
new york,Estela
new york,Etats-Unis
new york,Faro
new york,Fiamma Osteria
new york,Fleur de Sel
new york,Gabriel Kreuther
new york,Gilt
new york,Gordon Ramsay at The London
new york,Gotham Bar and Grill
new york,Gramercy Tavern
new york,Gunter Seeger
new york,Hakkasan
new york,Heartbreak
new york,Hirohisa
new york,Ichimura at Brushstroke
new york,Ichimura at Uchū
new york,Insieme
new york,Jean-Georges
new york,Jeju Noodle Bar
new york,Jewel Bako
new york,JoJo
new york,Jungsik
new york,Juni
new york,Junoon
new york,Kajitsu
new york,Kanoyama
new york,Kosaka
new york,Kurumazushi
new york,Kyo Ya
new york,L'Appart
new york,L'Atelier de Joël Robuchon
new york,La Goulue
new york,La Sirena
new york,La Vara
new york,Lan Sheng
new york,Laut
new york,Le Bernardin
new york,Le Grill de Joël Robuchon
new york,Le Jardinier
new york,Le Restaurant
new york,Lever House
new york,Lincoln
new york,Lo Scalco
new york,Luksus at Torst
new york,M. Wells Steakhouse
new york,Marc Forgione
new york,March
new york,Marea
new york,Masa
new york,Meadowsweet
new york,Minetta Tavern
new york,Momofuku Ko
new york,Nix
new york,Nobu
new york,Noda
new york,Oceana
new york,Odo
new york,Okuda
new york,Oxalis
new york,Oxomoco
new york,Per Se
new york,Perry Street
new york,Peter Luger Steak House
new york,Picholine
new york,Piora
new york,Pok Pok NY
new york,Public
new york,Rebelle
new york,Rhong-Tiam
new york,Rosanjin
new york,Rouge Tomate
new york,SHO Shaun Hergatt
new york,Satsuki
new york,Saul
new york,Scalini Fedeli
new york,Semilla
new york,Seäsonal
new york,Shalezeh
new york,Somtum Der
new york,Soto
new york,Sushi Amane
new york,Sushi Azabu
new york,Sushi Ginza Onodera
new york,Sushi Inoue
new york,Sushi Nakazawa
new york,Sushi Yasuda
new york,Sushi Zo
new york,Sushi of Gari
new york,Take Root
new york,Tamarind Tribeca
new york,Telepan
new york,Tempura Matsui
new york,Tetsu Basement
new york,The Breslin
new york,The Clocktower
new york,The Finch
new york,The Four Horsemen
new york,The Modern
new york,The Musket Room
new york,The NoMad
new york,The River Café
new york,The Spotted Pig
new york,Tori Shin
new york,Torrisi Italian Specialities
new york,Tulsi
new york,Tuome
new york,Ukiyo
new york,Uncle Boons
new york,Ushiwakamaru
new york,Veritas
new york,Vong
new york,Wallsé
new york,ZZ's Clam Bar
new york,Zabb Elee
new york,wd~50
san francisco,Acquerello
san francisco,Adega
san francisco,Al's Place
san francisco,Alexander’s Steakhouse
san francisco,All Spice
san francisco,Ame
san francisco,Angler
san francisco,Applewood
san francisco,Aqua
san francisco,Aster
san francisco,Atelier Crenn
san francisco,Auberge du Soleil
san francisco,Aubergine
san francisco,Aziza
san francisco,Bar Crenn
san francisco,Baumé
san francisco,Benu
san francisco,Birdsong
san francisco,Bistro Jeanty
san francisco,Bouchon
san francisco,Boulevard
san francisco,Bushi-Tei
san francisco,Californios
san francisco,Campton Place
